ÿÎ6V	pH	sigma	[H+]	[CH3COO-]	[Na+]	[OH-]	[CH3COOH]	
4.30	4.68	0.274	2.098E-5	0.030	0.030	4.766E-10	0.040	
4.40	4.70	0.279	2.015E-5	0.031	0.031	4.963E-10	0.039	
4.50	4.71	0.283	1.935E-5	0.031	0.031	5.168E-10	0.038	
4.60	4.73	0.287	1.858E-5	0.032	0.032	5.381E-10	0.037	
4.70	4.75	0.292	1.785E-5	0.032	0.032	5.601E-10	0.036	
4.80	4.77	0.296	1.715E-5	0.032	0.032	5.830E-10	0.035	
4.90	4.78	0.300	1.648E-5	0.033	0.033	6.068E-10	0.034	
5.00	4.80	0.304	1.583E-5	0.033	0.033	6.316E-10	0.033	
5.10	4.82	0.308	1.521E-5	0.034	0.034	6.573E-10	0.032	
5.20	4.84	0.312	1.462E-5	0.034	0.034	6.841E-10	0.032	
5.30	4.85	0.316	1.404E-5	0.035	0.035	7.121E-10	0.031	
5.40	4.87	0.320	1.349E-5	0.035	0.035	7.413E-10	0.030	
5.50	4.89	0.323	1.296E-5	0.035	0.035	7.718E-10	0.029	
5.60	4.91	0.327	1.244E-5	0.036	0.036	8.037E-10	0.028	
5.70	4.92	0.331	1.195E-5	0.036	0.036	8.370E-10	0.027	
5.80	4.94	0.334	1.147E-5	0.037	0.037	8.720E-10	0.027	
5.90	4.96	0.338	1.101E-5	0.037	0.037	9.086E-10	0.026	
6.00	4.98	0.342	1.056E-5	0.038	0.038	9.471E-10	0.025	
6.10	4.99	0.345	1.013E-5	0.038	0.038	9.876E-10	0.024	
6.20	5.01	0.349	9.707E-6	0.038	0.038	1.030E-9	0.023	
6.30	5.03	0.352	9.302E-6	0.039	0.039	1.075E-9	0.023	
6.40	5.05	0.355	8.909E-6	0.039	0.039	1.122E-9	0.022	
6.50	5.07	0.359	8.529E-6	0.039	0.039	1.173E-9	0.021	
6.60	5.09	0.362	8.160E-6	0.040	0.040	1.226E-9	0.020	
6.70	5.11	0.365	7.802E-6	0.040	0.040	1.282E-9	0.020	
6.80	5.13	0.369	7.454E-6	0.040	0.040	1.342E-9	0.019	
6.90	5.15	0.372	7.117E-6	0.041	0.041	1.405E-9	0.018	
7.00	5.17	0.375	6.789E-6	0.041	0.041	1.473E-9	0.018	
7.10	5.19	0.378	6.470E-6	0.042	0.042	1.546E-9	0.017	
7.20	5.21	0.381	6.160E-6	0.042	0.042	1.623E-9	0.016	
7.30	5.23	0.384	5.859E-6	0.042	0.042	1.707E-9	0.016	
7.40	5.25	0.387	5.566E-6	0.043	0.043	1.797E-9	0.015	
7.50	5.28	0.390	5.280E-6	0.043	0.043	1.894E-9	0.014	
7.60	5.30	0.393	5.003E-6	0.043	0.043	1.999E-9	0.014	
7.70	5.32	0.396	4.732E-6	0.044	0.044	2.113E-9	0.013	
7.80	5.35	0.399	4.468E-6	0.044	0.044	2.238E-9	0.012	
7.90	5.38	0.402	4.211E-6	0.044	0.044	2.375E-9	0.012	
8.00	5.40	0.405	3.960E-6	0.044	0.044	2.525E-9	0.011	
8.10	5.43	0.407	3.716E-6	0.045	0.045	2.691E-9	0.010	
8.20	5.46	0.410	3.478E-6	0.045	0.045	2.876E-9	9.887E-3	
8.30	5.49	0.413	3.245E-6	0.045	0.045	3.082E-9	9.286E-3	
8.40	5.52	0.416	3.018E-6	0.046	0.046	3.314E-9	8.693E-3	
8.50	5.55	0.418	2.796E-6	0.046	0.046	3.577E-9	8.105E-3	
8.60	5.59	0.421	2.579E-6	0.046	0.046	3.877E-9	7.524E-3	
8.70	5.63	0.423	2.367E-6	0.047	0.047	4.224E-9	6.950E-3	
8.80	5.67	0.426	2.160E-6	0.047	0.047	4.629E-9	6.381E-3	
8.90	5.71	0.429	1.958E-6	0.047	0.047	5.107E-9	5.818E-3	
9.00	5.75	0.431	1.760E-6	0.047	0.047	5.681E-9	5.261E-3	
9.10	5.80	0.434	1.567E-6	0.048	0.048	6.382E-9	4.711E-3	
9.20	5.86	0.436	1.378E-6	0.048	0.048	7.259E-9	4.165E-3	
9.30	5.92	0.439	1.193E-6	0.048	0.048	8.386E-9	3.626E-3	
9.40	6.00	0.441	1.011E-6	0.048	0.048	9.888E-9	3.092E-3	
9.50	6.08	0.443	8.339E-7	0.049	0.049	1.199E-8	2.563E-3	
9.60	6.18	0.446	6.602E-7	0.049	0.049	1.515E-8	2.040E-3	
9.70	6.31	0.448	4.900E-7	0.049	0.049	2.041E-8	1.522E-3	
9.80	6.49	0.450	3.234E-7	0.049	0.049	3.093E-8	1.010E-3	
9.90	6.80	0.453	1.601E-7	0.050	0.050	6.248E-8	5.024E-4	
10.00	8.75	0.455	1.780E-9	0.050	0.050	5.617E-6	5.616E-6	
10.10	10.70	0.465	2.010E-11	0.050	0.050	4.976E-4	6.309E-8	
10.20	11.00	0.475	1.010E-11	0.050	0.050	9.901E-4	3.155E-8	
10.30	11.17	0.485	6.767E-12	0.049	0.051	1.478E-3	2.103E-8	
10.40	11.29	0.495	5.100E-12	0.049	0.051	1.961E-3	1.577E-8	
10.50	11.39	0.505	4.100E-12	0.049	0.051	2.439E-3	1.262E-8	
10.60	11.46	0.514	3.433E-12	0.049	0.051	2.913E-3	1.052E-8	
10.70	11.53	0.524	2.957E-12	0.048	0.052	3.382E-3	9.014E-9	
10.80	11.59	0.533	2.600E-12	0.048	0.052	3.846E-3	7.887E-9	
10.90	11.63	0.543	2.322E-12	0.048	0.052	4.306E-3	7.010E-9	
11.00	11.68	0.552	2.100E-12	0.048	0.052	4.762E-3	6.309E-9	
11.10	11.72	0.561	1.918E-12	0.047	0.053	5.213E-3	5.736E-9	
11.20	11.75	0.570	1.767E-12	0.047	0.053	5.660E-3	5.258E-9	
11.30	11.79	0.579	1.638E-12	0.047	0.053	6.103E-3	4.853E-9	
11.40	11.82	0.588	1.529E-12	0.047	0.053	6.542E-3	4.507E-9	
11.50	11.84	0.597	1.433E-12	0.047	0.053	6.977E-3	4.206E-9	
11.60	11.87	0.606	1.350E-12	0.046	0.054	7.407E-3	3.943E-9	
11.70	11.89	0.614	1.276E-12	0.046	0.054	7.834E-3	3.712E-9	
11.80	11.92	0.623	1.211E-12	0.046	0.054	8.257E-3	3.505E-9	
11.90	11.94	0.632	1.153E-12	0.046	0.054	8.676E-3	3.321E-9	
12.00	11.96	0.640	1.100E-12	0.045	0.055	9.091E-3	3.155E-9	
12.10	11.98	0.648	1.052E-12	0.045	0.055	9.502E-3	3.005E-9	
12.20	12.00	0.657	1.009E-12	0.045	0.055	9.910E-3	2.868E-9	
12.30	12.01	0.665	9.696E-13	0.045	0.055	0.010	2.743E-9	
12.40	12.03	0.673	9.333E-13	0.045	0.055	0.011	2.629E-9	
12.50	12.05	0.681	9.000E-13	0.044	0.056	0.011	2.524E-9	
12.60	12.06	0.689	8.692E-13	0.044	0.056	0.012	2.427E-9	
12.70	12.08	0.697	8.407E-13	0.044	0.056	0.012	2.337E-9	
12.80	12.09	0.705	8.143E-13	0.044	0.056	0.012	2.253E-9	
12.90	12.10	0.713	7.897E-13	0.044	0.056	0.013	2.176E-9	
13.00	12.12	0.720	7.667E-13	0.043	0.057	0.013	2.103E-9	
13.10	12.13	0.728	7.452E-13	0.043	0.057	0.013	2.035E-9	
13.20	12.14	0.736	7.250E-13	0.043	0.057	0.014	1.972E-9	
13.30	12.15	0.743	7.061E-13	0.043	0.057	0.014	1.912E-9	
13.40	12.16	0.751	6.882E-13	0.043	0.057	0.015	1.856E-9	
13.50	12.17	0.758	6.714E-13	0.043	0.057	0.015	1.803E-9	
13.60	12.18	0.765	6.556E-13	0.042	0.058	0.015	1.753E-9	
13.70	12.19	0.773	6.405E-13	0.042	0.058	0.016	1.705E-9	
13.80	12.20	0.780	6.263E-13	0.042	0.058	0.016	1.660E-9	
13.90	12.21	0.787	6.128E-13	0.042	0.058	0.016	1.618E-9	
14.00	12.22	0.794	6.000E-13	0.042	0.058	0.017	1.577E-9	
14.10	12.23	0.801	5.878E-13	0.041	0.059	0.017	1.539E-9	
14.20	12.24	0.808	5.762E-13	0.041	0.059	0.017	1.502E-9	
14.30	12.25	0.815	5.651E-13	0.041	0.059	0.018	1.467E-9	
14.40	12.26	0.822	5.545E-13	0.041	0.059	0.018	1.434E-9	
14.50	12.26	0.829	5.444E-13	0.041	0.059	0.018	1.402E-9	
14.60	12.27	0.836	5.348E-13	0.041	0.059	0.019	1.372E-9	
14.70	12.28	0.842	5.255E-13	0.040	0.060	0.019	1.342E-9	
14.80	12.29	0.849	5.167E-13	0.040	0.060	0.019	1.314E-9	
14.90	12.29	0.855	5.082E-13	0.040	0.060	0.020	1.288E-9	
15.00	12.30	0.862	5.000E-13	0.040	0.060	0.020	1.262E-9	
15.10	12.31	0.868	4.922E-13	0.040	0.060	0.020	1.237E-9	
15.20	12.31	0.875	4.846E-13	0.040	0.060	0.021	1.213E-9	
15.30	12.32	0.881	4.774E-13	0.040	0.060	0.021	1.190E-9	
15.40	12.33	0.888	4.704E-13	0.039	0.061	0.021	1.168E-9	
15.50	12.33	0.894	4.636E-13	0.039	0.061	0.022	1.147E-9	
15.60	12.34	0.900	4.571E-13	0.039	0.061	0.022	1.127E-9	
15.70	12.35	0.906	4.509E-13	0.039	0.061	0.022	1.107E-9	
15.80	12.35	0.912	4.448E-13	0.039	0.061	0.022	1.088E-9	
15.90	12.36	0.919	4.390E-13	0.039	0.061	0.023	1.069E-9	
16.00	12.36	0.925	4.333E-13	0.038	0.062	0.023	1.052E-9	
16.10	12.37	0.931	4.279E-13	0.038	0.062	0.023	1.034E-9	
16.20	12.37	0.937	4.226E-13	0.038	0.062	0.024	1.018E-9	
16.30	12.38	0.942	4.175E-13	0.038	0.062	0.024	1.002E-9	
16.40	12.38	0.948	4.125E-13	0.038	0.062	0.024	9.859E-10	
16.50	12.39	0.954	4.077E-13	0.038	0.062	0.025	9.707E-10	
16.60	12.39	0.960	4.030E-13	0.038	0.062	0.025	9.560E-10	
16.70	12.40	0.966	3.985E-13	0.037	0.063	0.025	9.417E-10	
16.80	12.40	0.971	3.941E-13	0.037	0.063	0.025	9.279E-10	
16.90	12.41	0.977	3.899E-13	0.037	0.063	0.026	9.144E-10	
17.00	12.41	0.983	3.857E-13	0.037	0.063	0.026	9.014E-10	
17.10	12.42	0.988	3.817E-13	0.037	0.063	0.026	8.887E-10	
17.20	12.42	0.994	3.778E-13	0.037	0.063	0.026	8.763E-10	
17.30	12.43	0.999	3.740E-13	0.037	0.063	0.027	8.643E-10	
17.40	12.43	1.005	3.703E-13	0.036	0.064	0.027	8.526E-10	
17.50	12.44	1.010	3.667E-13	0.036	0.064	0.027	8.413E-10	
17.60	12.44	1.015	3.632E-13	0.036	0.064	0.028	8.302E-10	
17.70	12.44	1.021	3.597E-13	0.036	0.064	0.028	8.194E-10	
17.80	12.45	1.026	3.564E-13	0.036	0.064	0.028	8.089E-10	
17.90	12.45	1.031	3.532E-13	0.036	0.064	0.028	7.987E-10	
18.00	12.46	1.036	3.500E-13	0.036	0.064	0.029	7.887E-10	
18.10	12.46	1.042	3.469E-13	0.036	0.064	0.029	7.790E-10	
18.20	12.46	1.047	3.439E-13	0.035	0.065	0.029	7.695E-10	
18.30	12.47	1.052	3.410E-13	0.035	0.065	0.029	7.602E-10	
18.40	12.47	1.057	3.381E-13	0.035	0.065	0.030	7.511E-10	
18.50	12.47	1.062	3.353E-13	0.035	0.065	0.030	7.423E-10	
18.60	12.48	1.067	3.326E-13	0.035	0.065	0.030	7.337E-10	
18.70	12.48	1.072	3.299E-13	0.035	0.065	0.030	7.252E-10	
18.80	12.49	1.077	3.273E-13	0.035	0.065	0.031	7.170E-10	
18.90	12.49	1.082	3.247E-13	0.035	0.065	0.031	7.089E-10	
19.00	12.49	1.087	3.222E-13	0.034	0.066	0.031	7.011E-10	
19.10	12.50	1.091	3.198E-13	0.034	0.066	0.031	6.934E-10	
19.20	12.50	1.096	3.174E-13	0.034	0.066	0.032	6.858E-10	
19.30	12.50	1.101	3.151E-13	0.034	0.066	0.032	6.784E-10	
19.40	12.50	1.106	3.128E-13	0.034	0.066	0.032	6.712E-10	
19.50	12.51	1.110	3.105E-13	0.034	0.066	0.032	6.642E-10	
19.60	12.51	1.115	3.083E-13	0.034	0.066	0.032	6.572E-10	
19.70	12.51	1.120	3.062E-13	0.034	0.066	0.033	6.505E-10	
19.80	12.52	1.124	3.041E-13	0.034	0.066	0.033	6.438E-10	
19.90	12.52	1.129	3.020E-13	0.033	0.067	0.033	6.373E-10	
20.00	12.52	1.133	3.000E-13	0.033	0.067	0.033	6.310E-10	
20.10	12.53	1.138	2.980E-13	0.033	0.067	0.034	6.247E-10	
20.20	12.53	1.142	2.961E-13	0.033	0.067	0.034	6.186E-10	
20.30	12.53	1.147	2.942E-13	0.033	0.067	0.034	6.126E-10	
20.40	12.53	1.151	2.923E-13	0.033	0.067	0.034	6.067E-10	
20.50	12.54	1.156	2.905E-13	0.033	0.067	0.034	6.009E-10	
20.60	12.54	1.160	2.887E-13	0.033	0.067	0.035	5.952E-10	
20.70	12.54	1.164	2.869E-13	0.033	0.067	0.035	5.897E-10	
20.80	12.54	1.169	2.852E-13	0.032	0.068	0.035	5.842E-10	
20.90	12.55	1.173	2.835E-13	0.032	0.068	0.035	5.789E-10	
21.00	12.55	1.177	2.818E-13	0.032	0.068	0.035	5.736E-10	
21.10	12.55	1.181	2.802E-13	0.032	0.068	0.036	5.684E-10	
21.20	12.56	1.186	2.786E-13	0.032	0.068	0.036	5.634E-10	
21.30	12.56	1.190	2.770E-13	0.032	0.068	0.036	5.584E-10	
21.40	12.56	1.194	2.754E-13	0.032	0.068	0.036	5.535E-10	
21.50	12.56	1.198	2.739E-13	0.032	0.068	0.037	5.487E-10	
21.60	12.56	1.202	2.724E-13	0.032	0.068	0.037	5.439E-10	
21.70	12.57	1.206	2.709E-13	0.032	0.068	0.037	5.393E-10	
21.80	12.57	1.210	2.695E-13	0.031	0.069	0.037	5.347E-10	
21.90	12.57	1.214	2.681E-13	0.031	0.069	0.037	5.302E-10	
22.00	12.57	1.218	2.667E-13	0.031	0.069	0.038	5.258E-10	
22.10	12.58	1.222	2.653E-13	0.031	0.069	0.038	5.215E-10	
22.20	12.58	1.226	2.639E-13	0.031	0.069	0.038	5.172E-10	
22.30	12.58	1.230	2.626E-13	0.031	0.069	0.038	5.130E-10	
22.40	12.58	1.234	2.613E-13	0.031	0.069	0.038	5.088E-10	
22.50	12.59	1.238	2.600E-13	0.031	0.069	0.038	5.048E-10	
22.60	12.59	1.242	2.587E-13	0.031	0.069	0.039	5.008E-10	
22.70	12.59	1.245	2.575E-13	0.031	0.069	0.039	4.968E-10	
22.80	12.59	1.249	2.562E-13	0.030	0.070	0.039	4.929E-10	
22.90	12.59	1.253	2.550E-13	0.030	0.070	0.039	4.891E-10	
23.00	12.60	1.257	2.538E-13	0.030	0.070	0.039	4.854E-10	
23.10	12.60	1.260	2.527E-13	0.030	0.070	0.040	4.816E-10	
23.20	12.60	1.264	2.515E-13	0.030	0.070	0.040	4.780E-10	
23.30	12.60	1.268	2.504E-13	0.030	0.070	0.040	4.744E-10	
23.40	12.60	1.271	2.493E-13	0.030	0.070	0.040	4.709E-10	
23.50	12.61	1.275	2.481E-13	0.030	0.070	0.040	4.674E-10	
23.60	12.61	1.279	2.471E-13	0.030	0.070	0.040	4.639E-10	
23.70	12.61	1.282	2.460E-13	0.030	0.070	0.041	4.606E-10	
23.80	12.61	1.286	2.449E-13	0.030	0.070	0.041	4.572E-10	
23.90	12.61	1.289	2.439E-13	0.029	0.071	0.041	4.539E-10	
24.00	12.61	1.293	2.429E-13	0.029	0.071	0.041	4.507E-10	
24.10	12.62	1.296	2.418E-13	0.029	0.071	0.041	4.475E-10	
24.20	12.62	1.300	2.408E-13	0.029	0.071	0.042	4.443E-10	
24.30	12.62	1.303	2.399E-13	0.029	0.071	0.042	4.412E-10	
24.40	12.62	1.307	2.389E-13	0.029	0.071	0.042	4.382E-10	
24.50	12.62	1.310	2.379E-13	0.029	0.071	0.042	4.351E-10	
24.60	12.63	1.314	2.370E-13	0.029	0.071	0.042	4.322E-10	
24.70	12.63	1.317	2.361E-13	0.029	0.071	0.042	4.292E-10	
24.80	12.63	1.320	2.351E-13	0.029	0.071	0.043	4.263E-10	
